N,pre,query
1,0.8209613530000297,0.014142312399962977
2,0.8610747039999751,0.012920502800011491
3,0.8379586789999394,0.013098557099988284
4,0.8458313950000047,0.014327655899978711
5,0.8584666940000716,0.012788620299988906
6,0.8582105729999512,0.013307011999995665
7,0.8722216520000075,0.013205413199966641
8,0.8750766480000038,0.013339437299987367
9,0.8696624700000939,0.012549201000024367
10,0.8973049920000449,0.013016718200037759
11,0.9317005580001023,0.013180200500005412
12,0.9007821699999567,0.013654583000015917
13,0.9190287890000945,0.01322748889997456
14,0.9185770789999879,0.012772163800036651
15,0.9228536079999685,0.013734774299996387
16,0.9564304780001294,0.0139353816999801
17,0.9961302909998722,0.013741998499995136
18,0.962319148000006,0.013601157999914903
19,1.0031126640001276,0.013058421699997779
20,0.9994778089999272,0.012241586499953883
21,1.0018756240001494,0.014586385099960353
22,1.0020449500000268,0.014603421500009971
23,0.9969230660001358,0.013439449700035766
24,1.0146575160001703,0.013656665499934205
25,1.0118267810000816,0.013265696899952674
26,1.0212458510000033,0.013577273400005651
27,1.0499981190000653,0.01284787879999385
28,1.0412510090000069,0.013433982400010789
29,1.0640522290000263,0.013692191100039964
30,1.0498756500001036,0.0131374021000056
31,1.0596811020000132,0.013384177500006447
32,1.0863866239999425,0.01310000709997894
33,1.1136855120000746,0.013977271599992493
34,1.097789862000127,0.013015576200018584
35,1.1182716690000234,0.013921112600019115
36,1.1110939840000356,0.013541088000033594
37,1.140236366000181,0.014849677300048825
38,1.1524809760001062,0.01254614050001237
39,1.1439970050000738,0.013533689399992
40,1.1520571370001562,0.01403660159996889
41,1.1732149479998952,0.013824637800007623
42,1.1802693890001592,0.013988672100026632
43,1.1680509410000468,0.013339765799946692
44,1.1641150059999745,0.012957843900016997
45,1.188923296999974,0.012773519900019892
46,1.196181357000114,0.014259365099997012
47,1.2004052049999245,0.01331205240003328
48,1.2132223739999972,0.012916310799982967
49,1.1863942819998101,0.013459213000010095
50,1.2008238690000326,0.013313140799982647
51,1.2176201140000558,0.013539327800026512
52,1.2289679169998635,0.013246617400000105
53,1.268139954000162,0.012845115300001453
54,1.2524273330000142,0.013222007799959102
55,1.2597755400001915,0.01333492829999159
56,1.2658660869999494,0.013267828099992584
57,1.2809918169998582,0.013379332200020144
58,1.3101188050000019,0.014588865299992903
59,1.328263619999916,0.013444609199973456
60,1.3311410849998992,0.013604627399968193
61,1.344559433999848,0.013031190500055344
62,1.3613519860000451,0.014730632300006619
63,1.3597059710000394,0.011850583600016762
64,1.3825339850000091,0.013548368500005382
65,1.3957408070000383,0.012999179700022978
66,1.3898271609998574,0.013204988100005722
67,1.3791727729999366,0.013062683899988768
68,1.4007006570000158,0.01313765100001092
69,1.4135113529998762,0.014801052000007078
70,1.416475673999912,0.013429484699963723
71,1.4257222880000882,0.013684523299980355
72,1.443326531999901,0.013264454099999056
73,1.4637487160000546,0.013991478700040718
74,1.4475081670000236,0.013623274700012188
75,1.4781028679999508,0.01353507419999005
76,1.4715904770000634,0.012554869699988558
77,1.4948567410001488,0.013656644600041543
78,1.5028377679998357,0.014670769900021696
79,1.4888221359999534,0.01354961560002721
80,1.497461107999925,0.013322615299989595
81,1.5046029289999296,0.01375048169998081
82,1.5116103029999977,0.011765525700002397
83,1.5331820879998759,0.013934108300031767
84,1.5581685189999916,0.014258382500020162
85,1.5283163520000471,0.013554722999970183
86,1.5637677679999342,0.0144948424000404
87,1.5527970509999705,0.013688121400014098
88,1.5739902049999728,0.014368596699978297
89,1.5458824459999505,0.013953149299959477
90,1.5797835129999385,0.013098422700045376
91,1.5834316460000082,0.013083100899984858
92,1.6308286500000122,0.01295786379994297
93,1.5940336480000497,0.014065725299997212
94,1.6179094179999538,0.014338093799960917
95,1.6185621670001638,0.012905804899969552
96,1.658547752000004,0.014031123599988862
97,1.620594396000115,0.01289258219999283
98,1.6265990070000953,0.01290559569999914
99,1.6301700789999813,0.013527149899914548
100,1.661433347999946,0.013707278199990467
